Samples	SBS1	SBS2	SBS5	SBS7b	SBS13	SBS46
I-H-135393-T1-1-D1-1	8	0	28	0	0	0
I-H-135420-T1-2-D1-1	0	2	4	0	5	0
I-H-135963-T1-1-D1-1	0	0	5	0	0	0
I-H-135965-T1-1-D1-1	0	91	0	40	70	0
I-H-135967-T1-2-D1-1	0	107	0	56	63	0
I-H-136134-T1-1-D1-1	1	1	2	0	0	0
I-H-136375-T1-1-D1-1	0	38	30	0	54	0
I-H-136428-T1-1-D1-1	0	50	36	0	91	0
IID_H135068_T05_01_WG01	0	6	2	6	4	0
IID_H136433_T07_01_WG01	0	79	42	0	111	0
IID_H136641_T01_01_WG01	0	155	86	70	137	0
IID_H156409_T01_01_WG01	0	23	16	0	53	0
IID_H156416_T01_01_WG01	0	6	0	0	0	0
IID_H158184_T01_01_WG01	0	0	5	0	0	0
IID_H158186_T01_01_WG01	0	0	4	0	0	0
IID_H158223_T01_01_WG01	0	14	5	8	14	0
IID_H158493_T01_01_WG01	0	22	13	0	24	0
